timestamps,気圧,湿度,照度,UVI,騒音,温度,暑さ指数,不快指数
2018-01-16T09:07:11,1012,37.09,1219,0.08,35.89,21.06,16.38,65.78
2018-01-16T10:12:13,1011.6,38.05,1279,0.08,36.45,22.35,17.53,67.38
2018-01-16T10:57:32,1011.2,38.83,581,0.05,35.59,22.6,17.75,67.74
2018-01-16T12:17:06,1009.6,40.15,922,0.07,34.64,23.23,18.49,68.6
2018-01-16T13:12:09,1008.6,40.43,1187,0.08,37.94,24.03,19.16,69.6
2018-01-16T14:17:24,1008.4,41.98,1889,0.12,37.47,25.15,20.22,71.12
2018-01-16T14:17:24,1008.4,41.98,1889,0.12,37.47,25.15,20.22,71.12
2018-01-16T16:12:14,1008.1,39.91,193,0.03,38.61,23.83,18.88,69.31
2018-01-16T17:17:11,1006.8,40.74,136,0.03,36.45,23.28,18.55,68.72
2018-01-16T17:42:10,1007.2,41.62,134,0.03,36.72,23.49,18.85,69.05
2018-01-16T19:12:10,1007.5,42.08,166,0.03,50.45,23.23,18.75,68.77
2018-01-16T20:02:12,1007,42.86,175,0.04,50.17,23.36,18.89,69
2018-01-16T21:17:12,1006.4,42.54,173,0.03,33.94,23.09,18.65,68.64
2018-01-16T22:17:15,1006.8,41.77,158,0.03,34.64,22.7,18.22,68.1
2018-01-16T23:17:23,1006.6,39.89,163,0.03,38.82,22.15,17.53,67.28
2018-01-17T00:17:16,1006.2,40.36,160,0.03,31.58,21.95,17.48,67.07
2018-01-17T01:08:12,1005.6,40.54,171,0.03,36.45,21.79,17.35,66.89
2018-01-17T02:13:14,1005.6,40.82,163,0.03,37.47,21.61,17.22,66.69
2018-01-17T03:12:16,1005,40.95,161,0.03,37.71,21.52,17.16,66.59
2018-01-17T04:17:18,1004.6,41.1,0,0.02,35.59,21.27,17.06,66.3
2018-01-17T05:07:19,1004.9,41.27,0,0.02,34.64,21.06,16.89,66.06
2018-01-17T06:02:19,1004.7,41.41,0,0.02,34.64,21.1,16.92,66.11
2018-01-17T07:07:20,1005.5,41.47,25,0.02,33.18,20.77,16.66,65.72
2018-01-17T08:17:22,1006.2,39.9,541,0.05,33.94,20.88,16.53,65.75
2018-01-17T09:17:30,1006.1,38.7,227,0.03,37.23,21.76,17.08,66.72
2018-01-17T09:17:30,1006.1,38.7,227,0.03,37.23,21.76,17.08,66.72
2018-01-17T11:17:24,1005.1,42.05,359,0.04,38.39,22.99,18.54,68.47
2018-01-17T11:57:31,1003.9,43.17,700,0.05,33.18,22.97,18.66,68.54
2018-01-17T13:02:24,1002.9,43.97,1192,0.08,36.72,23.07,18.76,68.74
2018-01-17T13:42:34,1002,44.9,258,0.04,48.02,23.61,19.34,69.49
2018-01-17T15:07:35,1001.1,45.03,223,0.03,44.53,23.09,19.01,68.85
2018-01-17T16:12:29,1000.5,44.3,194,0.03,34.64,22.91,18.75,68.56
2018-01-17T16:47:27,1000,44.23,185,0.03,37.94,23.01,18.83,68.68
2018-01-17T17:37:29,999.1,44.55,193,0.03,49.83,22.75,18.62,68.39
2018-01-17T19:12:33,997.3,43.88,210,0.03,35.28,23.04,18.73,68.69
2018-01-17T20:17:29,997.6,43.18,220,0.03,34.64,23.44,19.05,69.13
2018-01-17T21:17:33,996.8,42.56,173,0.03,34.64,23.38,18.88,69
2018-01-17T22:17:30,996.8,41.79,165,0.03,35.89,22.5,18.05,67.85
2018-01-17T23:02:57,997.3,41.47,173,0.03,35.59,22.57,18.09,67.91
2018-01-18T00:12:36,997.2,42.41,0,0.02,34.64,21.88,17.67,67.14
2018-01-18T01:07:34,997.5,42.91,0,0.03,36.98,21.42,17.33,66.61
2018-01-18T02:07:38,998,43.26,0,0.01,34.3,21.11,17.17,66.25
2018-01-18T03:12:57,998.6,43.65,0,0.02,34.3,20.87,17.01,65.98
2018-01-18T04:17:35,999.7,44.01,0,0.02,34.3,20.65,16.92,65.73
2018-01-18T05:17:37,1000.7,44.17,0,0.01,32.77,20.53,16.85,65.59
2018-01-18T06:07:37,1001,44.22,0,0.02,34.97,20.43,16.77,65.46
2018-01-18T07:07:40,1001.7,44.3,109,0.03,35.89,20.22,16.61,65.21
2018-01-18T08:17:38,1002.6,43.13,819,0.06,32.35,20.81,16.94,65.87
2018-01-18T09:07:38,1003.8,41.92,1281,0.08,37.71,21.45,17.22,66.58
2018-01-18T10:13:06,1003.4,42.5,1336,0.08,35.28,22.8,18.41,68.28
2018-01-18T11:07:43,1003,43.88,659,0.05,35.89,23.43,19.06,69.18
2018-01-18T12:07:45,1002.1,45.23,898,0.06,36.98,23.69,19.5,69.62
2018-01-18T13:07:43,1002,43.97,827,0.06,36.17,24.23,19.71,70.18
2018-01-18T14:12:41,1002.2,42.64,223,0.03,37.23,24.21,19.57,70.03
2018-01-18T15:17:46,1003,42.74,176,0.03,42.62,23.61,19.07,69.3
2018-01-18T16:12:41,1002.5,42.3,203,0.03,37.71,23.91,19.32,69.63
2018-01-18T17:02:43,1003.3,42.14,142,0.03,41.47,23.61,19.05,69.24
2018-01-18T17:37:45,1003.3,42.42,135,0.03,35.59,23.47,18.96,69.1
2018-01-18T18:52:42,1004.2,42.21,142,0.03,34.64,23.09,18.65,68.61
2018-01-18T20:12:44,1004.4,42.22,177,0.03,40.33,23.51,18.98,69.13
